"Table A2P - Number of households owed a prevention duty by reason for loss, or threat of loss, of last settled homeEngland, October to December 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
E08000027,Dudley,,,..,,..,,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..,,..,..,..,..,,..,..,..
E06000047,Durham,,,290,,111,,43,0,1,0,2,,1,60,0,2,0,2,,3,54,23,41,11,,6,2,0,4,,25,1,10,14,,8,0,8
E09000009,Ealing,,,370,,120,,9,2,4,1,8,,2,54,7,2,0,31,,17,98,6,15,2,,9,5,1,3,,1,0,1,0,,4,3,95
E07000009,East Cambridgeshire,,,64,,13,,0,0,1,0,2,,0,8,0,1,0,1,,5,16,7,1,0,,14,9,4,1,,2,0,1,1,,0,0,6
E07000040,East Devon,,,118,,40,,2,0,2,0,0,,1,34,1,0,0,0,,4,37,8,12,0,,3,0,1,2,,3,1,1,1,,3,0,8
E07000085,East Hampshire,,,28,,11,,0,1,1,0,2,,0,6,0,0,0,1,,0,5,5,3,0,,0,0,0,0,,0,0,0,0,,1,0,3
E07000242,East Hertfordshire,,,63,,24,,1,0,0,0,3,,0,17,0,0,0,3,,4,20,0,4,1,,0,0,0,0,,3,0,1,2,,0,0,7
E07000137,East Lindsey,,,104,,41,,2,1,2,0,2,,3,23,0,1,0,7,,3,21,8,9,1,,2,1,1,0,,4,0,3,1,,2,0,13
E06000011,East Riding of Yorkshire,,,61,,28,,1,1,2,0,2,,1,16,3,0,0,2,,6,5,5,2,1,,1,0,1,0,,0,0,0,0,,7,0,6
E07000193,East Staffordshire,,,17,,6,,0,0,0,0,0,,0,5,0,0,0,1,,7,2,0,0,0,,0,0,0,0,,1,0,1,0,,0,0,1
E07000244,East Suffolk,,,161,,73,,5,0,0,0,8,,4,47,0,0,1,8,,7,27,6,11,0,,23,18,3,2,,4,1,2,1,,0,0,10
E07000061,Eastbourne,,,38,,28,,0,0,0,1,4,,1,20,0,0,0,2,,3,2,1,0,0,,0,0,0,0,,0,0,0,0,,0,0,4
E07000086,Eastleigh,,,54,,26,,2,0,3,0,1,,0,18,1,0,0,1,,2,11,7,2,0,,2,1,0,1,,2,0,2,0,,0,0,2
E07000030,Eden,,,29,,14,,0,0,1,0,1,,1,10,0,1,0,0,,2,5,3,5,0,,0,0,0,0,,0,0,0,0,,0,0,0
E07000207,Elmbridge,,,44,,26,,1,0,0,0,1,,1,16,0,0,0,7,,0,12,1,3,0,,0,0,0,0,,0,0,0,0,,0,0,2
E09000010,Enfield,,,422,,192,,18,4,2,12,3,,4,120,2,1,0,26,,11,108,7,4,7,,2,1,0,1,,8,3,4,1,,2,1,80
E07000072,Epping Forest,,,36,,10,,0,0,0,0,0,,0,8,0,0,0,2,,1,11,3,4,1,,3,2,0,1,,1,0,0,1,,0,0,2
