"Table  P2 - Number of households whose prevention duty ended by type of accommodation securedEngland, April to June 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known6
,,,,,,,,,,,,,,,,,,,Number of households
,,,Total number of households whose prevention duty ended with accommodation secured1,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known2
,,,,,Total PRS,Of which:,,,,Total SRS,Of which:,,,,,,,,
,,,,,,Self-contained,House in multiple occupation (HMO),Lodging (not with family or friends),,,Council tenancy,Registered Provider tenancy,Supported housing or hostel,,,,,,
E07000220,Rugby,,..,,..,..,..,..,,..,..,..,..,,..,..,..,..,..
E07000212,Runnymede,,20,,4,4,0,0,,12,3,4,5,,0,0,0,3,1
E07000176,Rushcliffe,,21,,5,5,0,0,,16,0,15,1,,0,0,0,0,0
E07000092,Rushmoor,,52,,20,14,5,1,,21,0,18,3,,9,0,0,1,1
E06000017,Rutland,,10,,4,4,0,0,,6,0,5,1,,0,0,0,0,0
E07000167,Ryedale,,11,,4,3,1,0,,4,2,1,1,,1,0,0,1,1
E08000006,Salford,,76,,18,18,0,0,,54,0,52,2,,1,1,1,0,1
E08000028,Sandwell,,65,,19,15,4,0,,41,13,2,26,,3,1,1,0,0
E07000168,Scarborough,,38,,28,26,2,0,,7,0,2,5,,2,0,1,0,0
E07000188,Sedgemoor,,..,,..,..,..,..,,..,..,..,..,,..,..,..,..,..
E08000014,Sefton,,36,,10,9,1,0,,20,1,14,5,,4,0,0,2,0
E07000169,Selby,,13,,6,5,1,0,,7,2,2,3,,0,0,0,0,0
E07000111,Sevenoaks,,22,,12,12,0,0,,6,2,3,1,,4,0,0,0,0
E08000019,Sheffield,,47,,16,14,2,0,,19,9,1,9,,2,1,0,2,7
E06000051,Shropshire,,31,,11,11,0,0,,19,5,14,0,,0,1,0,0,0
E06000039,Slough,,26,,15,14,1,0,,8,2,0,6,,0,0,0,3,0
E08000029,Solihull,,61,,15,11,4,0,,31,8,6,17,,12,2,0,1,0
E07000246,Somerset West and Taunton,,27,,11,9,1,1,,14,2,5,7,,0,1,0,1,0
E07000012,South Cambridgeshire,,38,,9,6,3,0,,26,14,12,0,,3,0,0,0,0
E07000039,South Derbyshire,,13,,2,1,1,0,,11,6,4,1,,0,0,0,0,0
E06000025,South Gloucestershire,,130,,23,18,5,0,,96,1,76,19,,8,2,0,1,0
E07000044,South Hams,,47,,24,22,2,0,,16,0,16,0,,3,0,1,3,0
E07000140,South Holland,,..,,..,..,..,..,,..,..,..,..,,..,..,..,..,..
E07000141,South Kesteven,,16,,7,7,0,0,,6,5,0,1,,0,0,2,1,0
E07000031,South Lakeland,,93,,30,30,0,0,,63,0,62,1,,0,0,0,0,0
E07000149,South Norfolk,,17,,7,6,0,1,,8,2,5,1,,0,1,0,1,0
E07000179,South Oxfordshire,,59,,9,6,2,1,,38,0,34,4,,6,4,0,2,0
E07000126,South Ribble,,29,,5,5,0,0,,20,2,15,3,,3,1,0,0,0
E07000189,South Somerset,,12,,4,4,0,0,,8,0,6,2,,0,0,0,0,0
E07000196,South Staffordshire,,5,,2,2,0,0,,3,0,3,0,,0,0,0,0,0
E08000023,South Tyneside,,71,,9,8,1,0,,60,52,6,2,,2,0,0,0,0
E06000045,Southampton,,86,,27,21,6,0,,46,17,3,26,,8,4,0,1,0
E06000033,Southend-on-Sea,,66,,38,34,4,0,,28,16,6,6,,0,0,0,0,0
E09000028,Southwark,,307,,39,34,5,0,,82,42,39,1,,0,0,0,1,185
E07000213,Spelthorne,,37,,24,18,6,0,,9,1,7,1,,3,0,1,0,0
E07000240,St Albans,,11,,4,4,0,0,,3,2,0,1,,1,0,0,3,0
E08000013,St Helens,,55,,7,7,0,0,,44,0,33,11,,0,0,3,1,0
E07000197,Stafford,,7,,1,0,1,0,,6,0,0,6,,0,0,0,0,0
